RBR,Naziv,Autor,Autor komentara,Autor dodataka,Urednik,Prevoditelj,Ilustrator,Naslov,Godina izdavanja,Tiskar,Mjesto tiskanja,Ustanova,Mjesto,,
38,"GELLIUS, AULUS    ","GELLIUS, AULUS  ",,,,,,Noctes Atticae,1477,"Paltašiæ, Andrija",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Metropolitanska knjižnica","Zagreb
Cavtat
Zagreb",,
37,"FIDELIS, CASSANDRA","FIDELIS, CASSANDRA",,,,,,Oratio pro Bertucio Lamberto etc.,1489,"Wagner, Petrus",Nürnberg,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
36,"FICINUS, MARSILIUS    ","FICINUS, MARSILIUS",,,,,,De triplici vita,1498,"Pelusius, Bartholomaeus
Bracius, Gabriel 
Bissolus, Johannes
Mangius, Benedictus",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
35,"FESTUS, SEXTUS POMPEIUS    ","FESTUS, SEXTUS POMPEIUS",,,,,,De verborum significatione,1483,"Dobriæeviæ, Dobriæ",Brescia,Zbirka Baltazara Bogišića,Cavtat,,
34,EVANGELISTARIUM ILLYRICUM,,,,,,,EVANGELISTARIUM ILLYRICUM,1495,Damianus de Gorgonzola,Venecija,"Franjevački samostan Majke Božje Trsatske
Knjižnica 'Juraj Habdelić' ","Rijeka
Zagreb",,
33,"DRAGIŠIÆ, JURAJ    ","DRAGIŠIÆ, JURAJ",,,,,,Oratio funebris pro Junio Georgio habita,1499,Nepoznat,Firenza,"Zbirka Baltazara Bogišića
Franjevački samostan Male braće","Cavtat
Dubrovnik",,
32," DRAGIŠIÆ, JURAJ    ","DRAGIŠIÆ, JURAJ",,,,,,De natura angelica.,1499,"Libris, Bartholomeo de",Firenza,"Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan Male braće
Znanstvena knjižnica
Knjižnica Hrvatske akademije znanosti i umjetnosti
Knjižnica 'Juraj Habdelić' ","Zagreb
Dubrovnik
Dubrovnik
Zagreb
Zagreb",,
31,DIONYSIUS CARTHUSIANUS,DIONYSIUS CARTHUSIANUS,,,,,,Dialogus Mariae et peccatoris etc.,1480,"Braem, Konrad",Löwen,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
30," DIODORUS, SICULUS    ","DIODORUS, SICULUS
Tacitus, Gaius Cornelius",,,,"Bracciolini, Jacopo",,Bibliothecae historicae libri VI.,1476,"Paltašiæ, Andrija",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića","Zagreb
Cavtat",,
29," CIPIKO, KORIOLAN    ","CIPIKO, KORIOLAN",,,,,Bernhard Maler,Petri Mocenici imperatoris gesta,1477,"Ratdolt, Erhard
Löslein, Peter",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan Male braće
Muzej grada Trogira
Državni arhiv u Zadru","Zagreb
Dubrovnik
Trogir
Zadar",,
28,"CICERO, MARCUS TULLIUS    ","CICERO, MARCUS TULLIUS  ",Hubertinus clericus,,,,,Epistolae ad familiares (comm. Hubertinus Clericus Crescentinas),1488,"Paltašiæ, Andrija",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
27,"CICERO, MARCUS TULLIUS    ","CICERO, MARCUS TULLIUS",Hubertinus clericus Crescentinas,,,,,Epistolae ad familiares,1487,"Paltašiæ, Andrija",Venecija,Zbirka Baltazara Bogišića,Cavtat,,
26,"CICERO, MARCUS TULLIUS    ","CICERO, MARCUS TULLIUS","Hubertinus, Crescentinas",,,,,Epistole ad familiares,1480,"Paltašiæ, Andrija",Venecija,"Znanstvena knjižnica
Franjevački samostan Gospe od milosti ","Dubrovnik
Hvar",,
25,"CICERO, MARCUS TULLIUS    ","CICERO, MARCUS TULLIUS",,,,,,De oratore,1478,"Paltašiæ, Andrija",Venecija,Znanstvena knjižnica,Dubrovnik,,
24,"CATULLUS, GAIUS VALERIUS    ","CATULLUS, GAIUS VALERIUS","Partenio, Antonio","Juliarius, Jacobus",,,,Carmina,1486,"Dobriæeviæ, Dobriæ",Brescia,Zbirka Baltazara Bogišića,Cavtat,,
23,"BURLAEUS, GUALTHERUS","BURLAEUS, GUALTHERUS",,,,,,Expositio in artem veterem Porphyrii et Aristotelis,1492,"Paltašiæ, Andrija",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića","Zagreb
Cavtat",,
22,"BUNIÆ, JAKOV    ","BUNIÆ, JAKOV  ",,,,,,De raptu Cerberi libri tres.,1490,"Plannck, Stephan",Rim,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
21,"BLONDUS, FLAVIUS    ","BLONDUS, FLAVIUS",,,"Pantheus, Johannes Antonius",,,Roma instaurata.,1481,"Dobriæeviæ, Dobriæ",Verona,"Nacionalna i sveučilišna knjižnica u Zagrebu
Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Znanstvena knjižnica
Znanstvena knjižnica Sveučilišta u Zadru","Zagreb
Zagreb
Cavtat
Dubrovnik
Zadar",,
20,BIBLIA,,,,,"Pontio, Bartolomeo",,BIBLIA,1484,"Paltašiæ, Andrija",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
19,BARTOLUS DE SAXOFERRATO,BARTOLUS DE SAXOFERRATO,,"Tartagnus, Alexander",,,,Super secunda parte Digesti veteris cum additionibus Alexandri Tartagni.,1492,"Paltašiæ, Andrija",Venecija,"Franjevački samostan sv. Frane
Metropolitanska knjižnica","Zadar
Zagreb",,
18,BARTOLUS DE SAXOFERRATO,BARTOLUS DE SAXOFERRATO,,"Tartagnus, Alexander",,,,Super prima parte Codicis cum additionibus Alexandri Tartagni.,1491,"Paltašiæ, Andrija",Venecija,"Franjevački samostan sv. Frane
Metropolitanska knjižnica","Zadar
Zagreb",,
17,BARTOLUS DE SAXOFERRATO,BARTOLUS DE SAXOFERRATO,,"Tartagnus, Alexander",,,,Super secunda parte Codicis cum additionibus Alexandri Tartagni.,1490,"Paltašiæ, Andrija",Venecija,Franjevački samostan sv. Frane,Zadar,,
16,BARTOLUS DE SAXOFERRATO,BARTOLUS DE SAXOFERRATO,,"Tartagnus, Alexander",,,,Super prima parte Digesti veteris cum additionibus Alexandri Tartagni.,1490,"Paltašiæ, Andrija",Venecija,Franjevački samostan sv. Frane,Zadar,,
15,BALDUS DE UBALDIS,BALDUS DE UBALDIS,,,"Zanetis, Joannes Antonius de",,,Consiliorum partes V.,1490,"Dobriæeviæ, Dobriæ",Brescia,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Državni arhiv Dubrovnik","Zagreb
Cavtat
Dubrovnik",,
14,"AURELIUS, VICTOR SEXTUS    ","AURELIUS, VICTOR SEXTUS",,,,,,De viris illustribus,1477,"Paltašiæ, Andrija",Venecija,"Zbirka Baltazara Bogišića
Zbirka Baltazara Bogišića","Cavtat
Cavtat",,
13,AUCTORITATES,Aristotelis,,,,,,Auctoritates,1495,"Paganini, Paganino de’, st.",Venecija,"Franjevački samostan Male braće
Franjevački samostan Navještenja Marijina","Dubrovnik
Košljun",,
